time,low,high,open,close,volume
2022-01-14 20:40:00,3303.38,3308.55,3304.51,3305.35,405.92611844
2022-01-14 20:45:00,3300.0,3308.82,3305.35,3300.89,314.13983509
2022-01-14 20:50:00,3301.02,3306.74,3301.29,3305.79,339.28262995
2022-01-14 20:55:00,3301.78,3306.93,3305.79,3305.95,384.80337596
2022-01-14 21:00:00,3304.14,3316.19,3305.45,3313.23,489.99547646
2022-01-14 21:05:00,3305.81,3314.91,3313.17,3306.05,336.54876541
2022-01-14 21:10:00,3306.05,3312.95,3306.05,3311.99,268.34285537
2022-01-14 21:15:00,3310.5,3314.93,3311.86,3312.34,217.77601288
2022-01-14 21:20:00,3306.15,3312.01,3312.01,3307.09,224.59012097
2022-01-14 21:25:00,3305.69,3310.6,3307.08,3309.58,264.49448921
2022-01-14 21:30:00,3309.0,3315.73,3309.58,3314.95,147.07470151
2022-01-14 21:35:00,3313.89,3319.48,3314.96,3315.0,326.69384833
2022-01-14 21:40:00,3313.04,3318.95,3315.0,3316.67,323.3808362
2022-01-14 21:45:00,3313.07,3324.59,3316.62,3324.08,779.2414841
2022-01-14 21:50:00,3322.19,3331.88,3324.08,3330.0,338.56138442
2022-01-14 21:55:00,3329.29,3346.81,3330.0,3332.8,1130.22951936
2022-01-14 22:00:00,3326.27,3334.55,3332.8,3328.32,293.00155435
2022-01-14 22:05:00,3321.34,3329.01,3328.31,3322.59,452.95733748
2022-01-14 22:10:00,3322.44,3332.69,3323.03,3330.98,302.6874484
2022-01-14 22:15:00,3325.59,3334.93,3330.99,3325.59,310.23473087
2022-01-14 22:20:00,3324.35,3328.58,3325.81,3325.67,130.88800316
2022-01-14 22:25:00,3323.22,3327.32,3325.12,3323.22,304.41897567
2022-01-14 22:30:00,3321.46,3323.74,3323.21,3322.45,150.266005
2022-01-14 22:35:00,3321.0,3322.58,3322.44,3321.02,178.47093836
2022-01-14 22:40:00,3317.39,3324.27,3321.0,3318.2,511.0200033
2022-01-14 22:45:00,3317.65,3325.0,3318.2,3324.39,154.24386193
2022-01-14 22:50:00,3321.67,3330.27,3324.62,3329.48,209.14032893
2022-01-14 22:55:00,3315.78,3329.24,3329.24,3315.99,227.22811074
2022-01-14 23:00:00,3308.86,3318.01,3315.99,3312.4,316.48013597
2022-01-14 23:05:00,3311.39,3320.03,3312.4,3317.01,397.85875654
2022-01-14 23:10:00,3314.94,3320.5,3317.01,3317.56,190.23234073
2022-01-14 23:15:00,3316.62,3321.02,3316.92,3318.78,328.58789704
2022-01-14 23:20:00,3301.8,3318.77,3318.33,3305.3,744.71248525
2022-01-14 23:25:00,3299.55,3306.31,3305.25,3302.7,353.26025194
2022-01-14 23:30:00,3292.35,3304.81,3302.86,3297.12,391.87384263
2022-01-14 23:35:00,3294.83,3304.12,3297.34,3303.38,297.36030873
2022-01-14 23:40:00,3303.2,3307.66,3303.67,3306.81,371.30469301
2022-01-14 23:45:00,3305.69,3311.35,3307.0,3310.37,252.56883676
2022-01-14 23:50:00,3310.49,3315.2,3310.72,3313.84,261.02835666
2022-01-14 23:55:00,3308.6,3315.12,3314.18,3310.45,182.2086624
2022-01-15 00:00:00,3309.76,3328.51,3309.98,3314.59,774.33930191
2022-01-15 00:05:00,3309.25,3317.65,3314.59,3316.48,254.51931083
2022-01-15 00:10:00,3311.37,3318.64,3316.46,3316.99,231.90884753
2022-01-15 00:15:00,3315.25,3321.45,3317.01,3316.07,301.53439146
